Thème,Question,A1,A2,A3,A4,Réponse,Temps (s),,
Divertissement et TV,"Quels sont les prénoms des Grumeaux dans le dessin animé ""Les Razmokets"" ?",Charles/Susie,Alphonse/Sophie,Tommy/Lucie,Jules/Angelica,2,30,,
Divertissement et TV,"Ma chériiiiiie, quelle est la nationalité de Cristina Cordula ?",Franco-brésilienne,Franco-colombienne,Franco-bolivienne,Franco-espagnole,1,30,,
Divertissement et TV,Combien y a-t-il de saisons Top Chef ?,11,12,13,14,1,30,,
Divertissement et TV,Qui n'est pas un enfant Jolie-Pitt?,Knox Leon,Vivienne Marcheline,Emme Marbiel,Pax Thien,3,30,,
Histoire et géographie,"Pendant la Seconde Guerre mondiale, dans quel pays Anne Frank est-elle restée cachée ?",Pologne,Danemark,Allemagne,Pays-Bas,4,30,,simpson-histoire.jpg
Histoire et géographie,En quelle année les françaises ont-elle obtenu le droit de vote ?,1944,1945,1946,1947,1,30,,
Histoire et géographie,"Qui a dit ""Mon ami, je vais vous étonner, je suis le Président de la République"" ?",René Coty,Vincent Auriol,Raymond Poincaré,Paul Deschanel,4,30,,
Histoire et géographie,Que s'est-il passé le 26 avril 1986 ?,La catastrophe de Tchernobyl,Le massacre de Tian'anmen,La chute du mur de Berlin,Le premier vol d'une navette spatiale,1,30,,
Histoire et géographie,Dans quelle ville la première université d'Europe a été construite ?,Toulouse,Oxford,Bologne,Valladolid,3,30,,
Histoire et géographie,A quel pays appartient les îles Caïmans ?,Portugal,Etats-Unis,Espagne,Royaume-Uni,4,30,,
Histoire et géographie,A quel pays appartient ce drapeau ?,Le Pérou,Les Seychelles,Le Kenya,La Lettonie,1,30,drapeau.png,
Histoire et géographie,Quel est le numéro de département des Alpes-Maritimes ?,05,06,07,08,2,30,,
Histoire et géographie,Quel est ce pays ?,Zambie,Botswana,Zimbabwe,Ouganda,1,30,carte.png,
Histoire et géographie,Quel est le code AITA de l'aéroport de Gatwick à Londres ?,GAK,GWA,LGK,LGW,4,30,,
Musique et cinéma,Quelle chanson a été la plus visionnée sur Youtube ?,Uptown Funk,Shape of You,Gangnam Style,Despacito,4,30,,simpson-musique.jpg
Musique et cinéma,"Compléter la chanson de Michel Sardou: 
""De Tipperary, ____ et de Galway 
Ils sont arrivés dans le comté du Connemara""",Connor-Flaherty,Cromwell-O'Kelly,Barry-Connely,O'Sean-Mannely,3,35,,
Musique et cinéma,Quelle chanson a été le premier succès de Justin Bieber ?,Sorry,Love Yourself,What do you mean,One Time,4,30,,
Musique et cinéma,Quel titre n'est pas d'Ed Sheeran ?,Cross me,The T team,I see Fire,Little Lady,2,30,,
Musique et cinéma,Quelle est la nationalitè d'Angèle ?,Belge,Canadienne,Française,Suisse,1,30,,
Musique et cinéma,Comment s'appelle la sœur de la Reine des neiges (Disney) ?,Anna,Elsa,Emma,Lisa,1,30,,
Musique et cinéma,"Dans quel film Louis de Funès dit ""Mais c'est ignoble chez vous ! Comment peut-on vivre dans un gourbi pareil ?"" ?",La Grande Vadrouille,La Folie des grandeurs,Le Corniaud,La Soupe aux choux,2,30,,
Musique et cinéma,"En 2020, qui a remporté l'oscar de la meilleur actrice ?",Charlize Theron,Kathy Bates,Saoirse Ronan,Renée Zellweger,4,30,,
Musique et cinéma,Où Iron Man a créé sa première armure ?,Le laboratoire de Stark Industries,Le vaisseau spatial Potts,Le sous-sol de sa maison,Une grotte afghane,4,30,,
Musique et cinéma,"Quel est le prénom de Julia Roberts, dans ""Pretty Woman"" ?",Erin,Vivian,Anna,Julianne,2,30,,
Sports et loisirs,Lequel de ces cyclistes français a remporté le Tour de France 5 fois ?, Bernard Thévenet,Bernard Hinault,Laurent Fignon, Louison Bobet,2,30,,simpson-sport.jpg
Sports et loisirs,Quel est le circuit de Formule 1 le plus rapide ?,Monaco,Spa-Francorchamps,Monza,Silverstone,3,30,,
Sports et loisirs,Quel homme a réussi la première ascension de l'Everest ?,Achille Compagnoni,Jacques Balmat,Edward Whymper,Edmund Hillary,4,30,,
Sports et loisirs,Contre lequel de ces pays la France n'a pas joué pendant la Coupe du Monde de football 2018 ?,Argentine,Uruguay,Pérou,Russie,4,30,,
Sports et loisirs,Combien de titres du Grand Chelem a remporté Roger Federer ?,17,20,24,12,2,30,,
Sports et loisirs,Lequel de ces sports n'est pas représenté aux prochains Jeux Olympiques ?,Escalade,Trampoline,Squash,Aviron,3,30,,
Sports et loisirs,"En partant de la case départ au Monopoly, dans quel ordre trouve-t-on les gares ?","Montparnasse, Lyon, du Nord, Saint-Lazare","Lyon, du Nord, Saint-Lazare, Montparnasse","Saint-Lazare, Montparnasse, Lyon, du Nord","Du Nord, Lyon, Saint-Lazare, Montparnasse",1,30,,
Sports et loisirs,Combien y a-t-il d'atouts dans un jeu de tarot ?,12,21,32,36,2,30,,
Sports et loisirs,Quelle est la combinaison la plus forte au poker ?,Quinte,Carré,Brelan,Couleur,2,30,,
Sports et loisirs,Sur quelle case commence le roi blanc aux échecs ?,Case noire,Case blanche,Peu importe,Tirée au sort,1,30,,
Divers et insolite,Quelle lettre n'existait pas avant 1935 ?,Z,K,X,W,4,30,,simpson-divers.png
Divers et insolite,Qu'est-ce que c'est ?,Une pièce de jeu sarasine du Xe siècle,Une agrafe de suspension du VIe siècle,Une clè du Ier siècle,Une boucle de ceinture du IVe siècle,3,30,insolite.jpg,
Divers et insolite,De quel signe astrologique est une personne née le 1er avril ?,Taureau,Bélier,Capricorne,Gémeaux,2,30,,
Divers et insolite,"Quel est l’infinitif du participe passé ""issu"" ?",Issoire,Issir,Issire,Issoir,2,30,,
Divers et insolite,Quel est le pays d'origine du chapeau Panama ?,Panama,Colombie,Equateur,Italie,3,30,,
Divers et insolite,"Qu'impliquait-on si l'on insultait quelqu'un de ""fesse-mathieu"" dans le temps ?",C'est un obsédé sexuel,C'est un avare,C'est un vaniteux,C'est un maladroit,2,30,,
Divers et insolite,Laquelle de ces phrases ne contient pas de faute d'orthographe ?,Elle se rappelle de ses 20 ans.,Tu vas avoir affaire à moi.,L'offre est intéressante en termes de prix.,Il n'est pas prêt de faire ça.,3,30,,
Divers et insolite,Quelle est la couleur de la boîte noire d'un avion de ligne ?,Rouge,Jaune,Bleue,Noire,1,30,,
Divers et insolite,Laquelle de ces infos est fausse ?,La licorne est un des animaux symboliques de l'Ecosse.,Les empreintes digitales des koalas sont pratiquement indiscernables à celles des humains.,La surface de la Russie est plus grande que celle de Pluton.,"Plongée dans l'eau, une cannette de coca light coule mais celle de coca normal remonte à la surface.",4,35,,
Divers et insolite,Combien de temps a duré la Guerre de Trente Ans ?,28 ans,30 ans,32 ans,38 ans,2,30,,
Sciences et nature,"Si le soleil avait la taille d'un ballon de football, quelle serait proportionnellement celle de la terre ?",Une orange,Une balle de ping pong,Une bille,Un grain de poivre,4,30,,simpson-science.jpg
Sciences et nature,Quelle est la planète la plus chaude du système solaire ?,Vénus,Mercure,Jupiter,Mars,1,30,,
Sciences et nature,Qui a découvert que la Terre tournait autour du Soleil ?,Eratosthène,Galilée,Copernic,Thalès,3,30,,
Sciences et nature,"A quel scientifique est attribée la maxime ""rien ne se perd, rien ne se crée, tout se transforme"" ?",Einstein,Kepler,Lavoisier,Planck,3,30,,
Sciences et nature,Quel est l'autre nom de l'acide acétylsalicylique ?,L'aspirine,La morphine,La pénicilline,Le vinaigre,1,30,,
Sciences et nature,"Le pangolin tient son nom du malais ""pang goling"" qui veut dire :",Qui s'enroule,Qui se contracte,Qui s'étire,Qui s'accroche,1,30,,
Sciences et nature,Combien d'estomacs a la vache ?,1,2,3,4,4,30,,
Sciences et nature,"De quelle race est le chien Milou dans la BD ""Tintin"" ?",Yorskshire terrier,Jack Russell terrier,Fox-terrier,Scottish terrier,3,30,,
Sciences et nature,Quel bruit fait l'alouette ?,Elle tire-lire,Elle nasillonne,Elle piaule,Elle zinzinule,1,30,,
Sciences et nature,Lequel de ces dinosaures est carnivore ?,Patagotitan,Tricératops,Brachiosaure,Vélociraptor,4,30,,
Logique et énigmes,Combien de fois trouve-t-on le chiffre 9 dans la série de numéros de 1 à 100 ?,20 fois,9 fois,19 fois,10 fois,1,45,,simpson-logique.jpeg
Logique et énigmes,Vous êtes malade et devez prendre 1 cachet toutes les 30 min. En combien de temps minimum prendrez-vous 5 cachets ?,30 min,1 heure 30 min,2 heures,2 heures 30 min,3,45,,
Logique et énigmes,"Un nénuphar, sur un étang, double de taille chaque jour. Au bout de 100 jours, il recouvre entièrement l'étang. En combien de jours en recouvrait-il la moitié ?",1 jour,10 jours,50 jours,99 jours,4,45,,
Logique et énigmes,"Sur un arbre se trouvent 10 oiseaux. Un chasseur arrive, tire avec son fusil sur un oiseau et le tue. Combien reste-t-il d'oiseaux sur l'arbre ?",0,6,9,10,1,45,,
Logique et énigmes,"Dans une pièce, il y a un enfant, sa mère, la soeur de son oncle, la fille de son grand-père et la tante de son cousin. Combien il y a de personnes au minimum dans cette pièce ?",2,3,4,5,1,45,,
Logique et énigmes,Un père a 30 ans de plus que son fils. Le père et le fils ont à eux deux 36 ans. Quel est l'âge du père ?,30 ans,33 ans,36 ans,42 ans,2,45,,
Logique et énigmes,"Si une personne est aveugle, sourde et muette, combien de sens lui reste-il ?",2,3,4,5,2,45,,
Logique et énigmes,"1
11
21
1211
111221
312211
___?",13112221,13112331,13221321,13121321,1,45,,
Logique et énigmes,Complétez la suite de nombres : 1 1 2 3 5 8 ?,8,10,13,15,3,45,,
Logique et énigmes,"La mère de Toto a 3 enfants : Pim, Pam et... .",Poum,Pom,Pum,Autre,4,30,,
